Epoch,AUC_dev,PR_AUC,ACC,BACC,PREC,TPR,KAPPA,RECALL
0,0.7646961120929714,0.7735342508708777,0.6472009665726943,0.6484001733610503,0.8248686514886164,0.3777064955894146,0.29608610947501957,0.3777064955894146
1,0.8090657059142591,0.8092468218048027,0.7192911800241644,0.7197263724200216,0.775,0.6214915797914996,0.4390657507970859,0.6214915797914996
2,0.8151466432058299,0.812266930194316,0.7068062827225131,0.7075962893468597,0.8239700374531835,0.529270248596632,0.4145328405921962,0.529270248596632
3,0.8178761714198218,0.8156000982081811,0.7180829641562626,0.7187197494050446,0.8083427282976324,0.5749799518845229,0.436878269028402,0.5749799518845229
4,0.8249669757580004,0.8219751561514664,0.725332259363673,0.7258193126286259,0.7909371781668383,0.615878107457899,0.4511942494539185,0.615878107457899
5,0.8293078144829144,0.8251269108897465,0.7265404752315747,0.7270614523399849,0.7983193277310925,0.6094627105052125,0.45364535753601387,0.6094627105052125
6,0.8340366393908486,0.8304677829430778,0.7370116794200564,0.7373972615182587,0.7889105058365758,0.6503608660785886,0.4744237669258893,0.6503608660785886
7,0.8367233463873165,0.8319487246615673,0.7269432138542086,0.7275052358670517,0.806243272335845,0.6006415396952687,0.4544947282671038,0.6006415396952687
8,0.8383771537125995,0.8352375982128206,0.7245267821184052,0.7251458516621121,0.8138238573021181,0.5854049719326383,0.4497300120462644,0.5854049719326383
9,0.8472138958743703,0.8423791582523048,0.7579540877970198,0.7582258910057277,0.7957875457875457,0.6968724939855654,0.5161662866222977,0.6968724939855654
10,0.8526216966025905,0.8499063411579515,0.7507047925896093,0.7511263277821464,0.8115079365079365,0.6559743384121892,0.501824671424631,0.6559743384121892
12,0.8575678716297755,0.8546952740272297,0.7551349174385824,0.7555583237958803,0.817279046673287,0.6599839615076183,0.5106792894130217,0.6599839615076183
13,0.8646901430747711,0.8600639768638012,0.774869109947644,0.7751091292240535,0.80990990990991,0.7209302325581395,0.5499494016227148,0.7209302325581395
14,0.8682929646037223,0.8650389443534338,0.7720499395892066,0.7724237198402379,0.8289855072463768,0.6880513231756215,0.544435569720537,0.6880513231756215
15,0.8701952647519093,0.8655831198396551,0.7841320982682239,0.7842741673868416,0.8051502145922746,0.7522052927024859,0.5683820195713553,0.7522052927024859
16,0.8749088427111801,0.8730695361896524,0.7897704389850987,0.7898733659812677,0.8053917438921652,0.7666399358460305,0.579622631228667,0.7666399358460305
19,0.8761892619957802,0.8702931007570861,0.7937978252114378,0.7939293787290144,0.8138343296327925,0.764234161988773,0.5876993727743869,0.764234161988773
20,0.8806948975275288,0.8754075823340056,0.8006443817962142,0.8005780215559414,0.7932917316692668,0.8155573376102646,0.6012311340052995,0.8155573376102646
