Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.7689050830421112	0.771958130412862	0.6774063632702376	0.671091488524488	0.7973568281938326	0.4502487562189055	0.34637472973519223	0.4502487562189055
1	0.794712810263483	0.7969413289884538	0.6415626258558196	0.631887547384456	0.9030612244897959	0.2935323383084577	0.2688190899074555	0.2935323383084577
2	0.8048237668353613	0.8051511120331466	0.6504228755537657	0.6409164046642278	0.916256157635468	0.30845771144278605	0.28712767801267747	0.30845771144278605
3	0.8085317344366655	0.8077945094212216	0.6681433749496577	0.6597117518645353	0.8835341365461847	0.3648424543946932	0.3247230231403736	0.3648424543946932
4	0.8112124706667654	0.8089364140734256	0.6782118405155054	0.670237951459097	0.8789571694599627	0.3913764510779436	0.3458086641111249	0.3913764510779436
10	0.8223165690731932	0.8308118792920831	0.7374144180426903	0.7321513679319405	0.8606770833333334	0.5480928689883914	0.46903830928303003	0.5480928689883914
11	0.8312671827497854	0.8349359635313719	0.7454691904953685	0.7412961296363393	0.8329466357308585	0.5953565505804311	0.48644958601957	0.5953565505804311
12	0.8453708357196008	0.8455293870908213	0.7587595650422876	0.755738405336928	0.8158168574401665	0.6500829187396352	0.51438178173779	0.6500829187396352
13	0.8463678735011968	0.8489377599774404	0.761578735400725	0.7588710714243971	0.8107287449392713	0.664179104477612	0.5203570004496441	0.664179104477612
14	0.8482190976726911	0.8518552923160807	0.7643979057591623	0.7612891558911264	0.825813221406086	0.6525704809286899	0.5256438182055092	0.6525704809286899
15	0.856547333808639	0.8585102332981562	0.7696335078534031	0.767508710688271	0.8053949903660886	0.693200663349917	0.5370973692684562	0.693200663349917
16	0.8622302219001573	0.8637467254331573	0.7740636327023761	0.7717465270878705	0.8158667972575906	0.6907131011608624	0.5458206729792641	0.6907131011608624
18	0.863172716423105	0.8664965013070283	0.7704389850986709	0.7678538266641213	0.8186372745490982	0.6774461028192371	0.5382885381012842	0.6774461028192371
19	0.8691286454701174	0.871117249670583	0.7801047120418848	0.7778732284804118	0.8210116731517509	0.6998341625207297	0.5580361246962496	0.6998341625207297
22	0.8826170634688733	0.8820248664717067	0.7933950865888039	0.7921080450007857	0.8124436429215509	0.7470978441127695	0.5855252946648761	0.7470978441127695
26	0.886310421268754	0.8824300881313026	0.8006443817962142	0.7993171703476873	0.8217194570135746	0.7529021558872305	0.6000313053925654	0.7529021558872305
32	0.8909092620946428	0.8909329941022935	0.8103101087394281	0.8081609701427606	0.8557599225556631	0.7330016583747927	0.6187895656913118	0.7330016583747927
33	0.8936604500338298	0.8932685429494147	0.8203785743052758	0.8196322615583009	0.8292894280762565	0.7935323383084577	0.6400316990591699	0.7935323383084577
36	0.9020039452957087	0.8960805681442086	0.8227950060410794	0.8225577931278092	0.8196994991652755	0.814262023217247	0.6452345727760755	0.814262023217247
43	0.9038272485133715	0.900454733433335	0.8236004832863472	0.8229490111437072	0.8304647160068847	0.8001658374792703	0.6465537861553461	0.8001658374792703
44	0.9060472890052478	0.9026474069286203	0.8268223922674185	0.8273722096902592	0.806477093206951	0.8466003316749585	0.653840118480708	0.8466003316749585
63	0.9081069463437186	0.9066903241990533	0.819573097060008	0.819033584362188	0.8233788395904437	0.8001658374792703	0.6385676363270094	0.8001658374792703
73	0.9105850933274116	0.9063992706955855	0.8284333467579541	0.8273478600212198	0.8469750889679716	0.7893864013266998	0.6559355587056834	0.7893864013266998
85	0.9178471386216918	0.9141222792907256	0.8368908578332662	0.8365153480833889	0.8379746835443038	0.8233830845771144	0.6733566488763032	0.8233830845771144
102	0.9182854326643992	0.9153787273307398	0.8340716874748288	0.8334287840359673	0.8416523235800344	0.8109452736318408	0.6675346116347092	0.8109452736318408
104	0.9186675601371893	0.9147311548926746	0.8344744260974627	0.8335898165138806	0.8483786152497809	0.802653399668325	0.6681807791815924	0.802653399668325
120	0.9201658764387408	0.9170114402808306	0.8389045509464358	0.8384961124941723	0.8409475465313029	0.824212271973466	0.6773669609734865	0.824212271973466
162	0.9201931480680647	0.9172041063709843	0.8356826419653645	0.8348566486284319	0.8481675392670157	0.8059701492537313	0.6706408345752608	0.8059701492537313
169	0.9207009198330977	0.9172283084678815	0.842529198550141	0.8428037312783512	0.8283642224012893	0.8524046434494196	0.685054770163845	0.8524046434494196
